UTC Time at End of Hour,Demand (MW),Net Generation (MW)
2015-07-01,697272.0,473726.0
2015-07-02,1170771.0,925879.0
2015-07-03,1127675.0,945961.0
2015-07-04,1094263.0,939286.0
2015-07-05,1043282.0,899935.0
2015-07-06,1063987.0,874296.0
2015-07-07,1066561.0,898664.0
2015-07-08,1061355.0,880644.0
2015-07-09,1051935.0,875320.0
2015-07-10,1037484.0,892359.0
2015-07-11,995606.0,872904.0
2015-07-12,974020.0,867400.0
2015-07-13,1044198.0,926638.0
2015-07-14,1054896.0,925166.0
2015-07-15,1052056.0,813956.0
2015-07-16,1038849.0,765411.0
2015-07-17,1041800.0,738800.0
2015-07-18,1026666.0,690277.0
2015-07-19,1009895.0,677703.0
2015-07-20,1088029.0,837968.0
2015-07-21,1105417.0,882042.0
2015-07-22,1087196.0,887933.0
2015-07-23,1091241.0,1048246.0
2015-07-24,1105102.0,1131663.0
2015-07-25,1057815.0,1079824.0
2015-07-26,1029812.0,920339.0
2015-07-27,1063314.0,1016241.0
2015-07-28,1076241.0,1068000.0
2015-07-29,1210514.72,1831979.0
2015-07-30,1154072.0,1125686.0
2015-07-31,1182069.0,1152487.0
2015-08-01,1138050.0,1115101.0
2015-08-02,1095070.0,931442.0
2015-08-03,1111757.0,1035269.0
2015-08-04,1122952.0,1130362.0
2015-08-05,1210514.72,1242247.0
2015-08-06,1120737.0,1150200.0
2015-08-07,1111245.0,1096795.0
2015-08-08,1064982.0,1065954.0
2015-08-09,1033876.0,909317.0
2015-08-10,1099150.0,1023217.0
2015-08-11,1196492.0,1086974.0
2015-08-12,1149263.0,1099854.0
2015-08-13,1182131.0,1165072.0
2015-08-14,1210514.72,1200908.0
2015-08-15,1100979.0,1162735.0
2015-08-16,1068798.0,1099637.0
2015-08-17,1109568.0,1114610.0
2015-08-18,1122976.0,1090463.0
2015-08-19,1122448.0,975205.0
2015-08-20,1115175.0,1081047.0
2015-08-21,1173355.0,1138902.0
2015-08-22,1069083.0,1097403.0
2015-08-23,1017435.0,1029926.0
2015-08-24,1086201.0,1105180.0
2015-08-25,1126780.0,1143225.0
2015-08-26,1124363.0,1124617.0
2015-08-27,1130601.0,1142913.0
2015-08-28,1121655.0,1135425.0
2015-08-29,1074051.0,1073985.0
2015-08-30,1021513.0,1037132.0
2015-08-31,1054707.0,1057282.0
2015-09-01,1076739.0,1100617.0
2015-09-02,1141730.0,1122992.0
2015-09-03,1081298.0,1037874.0
2015-09-04,1043863.0,853828.0
2015-09-05,981445.0,899640.0
2015-09-06,950735.0,819124.0
2015-09-07,963926.0,876028.0
2015-09-08,1089563.0,983877.0
2015-09-09,1006428.0,988734.0
2015-09-10,1002066.0,978703.0
2015-09-11,1006117.0,965355.0
2015-09-12,972296.0,958692.0
2015-09-13,953653.0,864639.0
2015-09-14,952996.0,939045.0
2015-09-15,949294.0,821824.0
2015-09-16,926753.0,825220.0
2015-09-17,916357.0,927323.0
2015-09-18,1077250.0,906729.0
2015-09-19,860782.0,898925.0
2015-09-20,855909.0,908343.0
2015-09-21,909801.0,847680.0
2015-09-22,934271.0,888112.0
2015-09-23,949883.0,944237.0
2015-09-24,1037173.0,1055595.0
2015-09-25,954804.0,969650.0
2015-09-26,916444.0,951605.0
2015-09-27,905074.0,926212.0
2015-09-28,935453.0,847755.0
2015-09-29,941275.0,920113.0
2015-09-30,959756.0,1025141.0
2015-10-01,945873.0,969740.0
2015-10-02,924989.0,982842.0
2015-10-03,857498.0,921177.0
2015-10-04,838239.0,876787.0
2015-10-05,874475.0,904351.0
2015-10-06,880897.0,944706.0
2015-10-07,882323.0,944861.0
2015-10-08,894325.0,939168.0
2015-10-09,893073.0,946877.0
2015-10-10,868458.0,931194.0
2015-10-11,853302.0,938136.0
2015-10-12,883815.0,853744.0
2015-10-13,894428.0,817992.0
2015-10-14,906370.0,780990.0
2015-10-15,899792.0,920917.0
2015-10-16,892514.0,962810.0
2015-10-17,842651.0,912407.0
2015-10-18,825764.0,910366.0
2015-10-19,864173.0,928353.0
2015-10-20,877204.0,944632.0
2015-10-21,886224.0,924038.0
2015-10-22,888607.0,939082.0
2015-10-23,896098.0,953140.0
2015-10-24,858624.0,924315.0
2015-10-25,836853.0,900930.0
2015-10-26,876803.0,933989.0
2015-10-27,902999.0,961188.0
2015-10-28,904318.0,946358.0
2015-10-29,901145.0,956914.0
2015-10-30,877244.0,956121.0
2015-10-31,852891.0,835405.0
2015-11-01,816729.0,826047.0
2015-11-02,1010097.0,1061008.0
2015-11-03,900143.0,958990.0
2015-11-04,957781.0,996054.0
2015-11-05,953061.0,1016548.0
2015-11-06,946711.0,1023691.0
2015-11-07,905955.0,987128.0
2015-11-08,882347.0,980525.0
2015-11-09,926047.0,1025536.0
2015-11-10,970274.0,1060810.0
2015-11-11,962437.0,1058763.0
2015-11-12,978041.0,1080841.0
2015-11-13,957987.0,1061733.0
2015-11-14,896088.0,997839.0
2015-11-15,886393.0,877039.0
2015-11-16,962100.0,992887.0
2015-11-17,1060137.0,1161812.0
2015-11-18,909763.0,1014744.0
2015-11-19,977921.0,1046658.0
2015-11-20,1000670.0,1049570.0
2015-11-21,1001321.0,1054797.0
2015-11-22,986862.0,1041664.0
2015-11-23,1026898.0,1078400.0
2015-11-24,1032989.0,1095116.0
2015-11-25,1046944.0,1118749.0
2015-11-26,1047887.0,1112063.0
2015-11-27,1017117.0,1074643.0
2015-11-28,1048764.0,963055.0
2015-11-29,1052103.0,999943.0
2015-11-30,1198128.0,1192355.0
2015-12-01,1119610.0,1113373.0
2015-12-02,1086703.0,1122144.0
2015-12-03,1041982.0,1099249.0
2015-12-04,1016216.0,1085772.0
2015-12-05,988533.0,1054123.0
2015-12-06,970183.0,924720.0
2015-12-07,981695.0,983726.0
2015-12-08,933335.0,1017375.0
2015-12-09,1024097.0,1142648.0
2015-12-10,987243.0,1096447.0
2015-12-11,1008110.0,1100601.0
2015-12-12,992479.0,1075534.0
2015-12-13,987155.0,1094251.0
2015-12-14,1035419.0,1139617.0
2015-12-15,1087498.0,1177354.0
2015-12-16,1071211.0,1175541.0
2015-12-17,1086633.0,1184626.0
2015-12-18,1066390.0,1167112.0
2015-12-19,1008336.0,1117935.0
2015-12-20,982797.0,962639.0
