UTC Time at End of Hour,Demand (MW),Net Generation (MW)
2015-07-01,550174.0,580450.0
2015-07-02,733441.0,777439.0
2015-07-03,718934.0,761984.0
2015-07-04,659109.0,696509.0
2015-07-05,618339.0,655377.0
2015-07-06,713876.0,753176.0
2015-07-07,793018.0,843262.0
2015-07-08,831514.0,866037.0
2015-07-09,849126.0,884067.0
2015-07-10,857447.0,883739.0
2015-07-11,828754.0,845623.0
2015-07-12,814922.0,831952.0
2015-07-13,857848.0,888588.0
2015-07-14,878817.8399999996,915393.0
2015-07-15,843378.0,871111.0
2015-07-16,840207.0,867593.0
2015-07-17,847958.0,882200.0
2015-07-18,827213.0,860884.0
2015-07-19,818946.0,851098.0
2015-07-20,841749.0,895608.0
2015-07-21,878817.8399999996,945563.0
2015-07-22,861251.0,902082.0
2015-07-23,836765.0,876481.0
2015-07-24,836024.0,875206.0
2015-07-25,808165.0,848607.0
2015-07-26,796925.0,830611.0
2015-07-27,850800.0,885376.0
2015-07-28,878817.8399999996,922160.0
2015-07-29,878817.8399999996,932681.0
2015-07-30,878817.8399999996,930144.0
2015-07-31,824019.0,259935.0
2015-08-01,791548.0,22373.0
2015-08-02,791817.0,22567.0
2015-08-03,792463.0,26434.0
2015-08-04,792806.0,26706.0
2015-08-05,791831.0,26374.0
2015-08-06,791653.0,25408.0
2015-08-07,792505.0,23971.0
2015-08-08,791379.0,20935.0
2015-08-09,791481.0,21592.0
2015-08-10,792705.0,26335.0
2015-08-11,792614.0,26501.0
2015-08-12,792486.0,27889.0
2015-08-13,791622.0,25808.0
2015-08-14,791110.0,19744.0
2015-08-15,790566.0,19810.0
2015-08-16,789802.0,19264.0
2015-08-17,765008.0,608703.0
2015-08-18,685910.0,223677.0
2015-08-19,658822.0,21421.0
2015-08-20,658591.0,20360.0
2015-08-21,659250.0,19303.0
2015-08-22,659145.0,18669.0
2015-08-23,660296.0,20020.0
2015-08-24,660026.0,23074.0
2015-08-25,659598.0,23963.0
2015-08-26,657171.0,21564.0
2015-08-27,657367.0,21228.0
2015-08-28,712260.0,577627.0
2015-08-29,699302.0,736614.0
2015-08-30,653768.0,692797.0
2015-08-31,707342.0,745494.0
2015-09-01,767251.0,810366.0
2015-09-02,792211.0,839016.0
2015-09-03,795487.0,841917.0
2015-09-04,788135.0,824057.0
2015-09-05,751476.0,778871.0
2015-09-06,697779.0,729381.0
2015-09-07,681674.0,718284.0
2015-09-08,728041.0,776815.0
2015-09-09,770595.0,819995.0
2015-09-10,763249.0,803263.0
2015-09-11,729876.0,773110.0
2015-09-12,655895.0,693778.0
2015-09-13,564894.0,596769.0
2015-09-14,592306.0,624570.0
2015-09-15,625310.0,668473.0
2015-09-16,650450.0,695229.0
2015-09-17,672202.0,714704.0
2015-09-18,683728.0,723937.0
2015-09-19,663945.0,698061.0
