UTC Time at End of Hour,Demand (MW),Net Generation (MW)
2015-07-01,332936.0,314454.0
2015-07-02,523087.0,452074.0
2015-07-03,509565.0,430395.0
2015-07-04,491571.0,416511.0
2015-07-05,492160.0,406388.0
2015-07-06,490529.0,418164.0
2015-07-07,514880.0,431460.0
2015-07-08,511864.0,427589.0
2015-07-09,491526.0,414240.0
2015-07-10,474200.0,393841.0
2015-07-11,478383.0,441056.0
2015-07-12,484877.0,386662.0
2015-07-13,510420.0,420730.0
2015-07-14,526500.0,432035.0
2015-07-15,512629.0,483899.0
2015-07-16,518987.0,489744.0
2015-07-17,520043.0,444509.0
2015-07-18,492989.0,403956.0
2015-07-19,466654.0,387782.0
2015-07-20,497864.0,420667.0
2015-07-21,510562.0,476259.0
2015-07-22,515180.0,424657.0
2015-07-23,508982.0,418490.0
2015-07-24,516566.0,421312.0
2015-07-25,510765.0,419510.0
2015-07-26,497387.0,449286.0
2015-07-27,516186.0,471358.0
2015-07-28,535788.0,443282.0
2015-07-29,518868.0,441189.0
2015-07-30,505653.0,493603.0
2015-07-31,532443.0,459766.0
2015-08-01,495226.0,414871.0
2015-08-02,507462.0,414821.0
2015-08-03,527347.0,433197.0
2015-08-04,537112.0,428138.0
2015-08-05,542543.0,440488.0
2015-08-06,544867.0,449512.0
2015-08-07,529061.0,448862.0
2015-08-08,502378.0,407216.0
2015-08-09,505787.0,400682.0
2015-08-10,521901.0,423632.0
2015-08-11,514780.0,424048.0
2015-08-12,499378.0,428641.0
2015-08-13,539160.0,459160.0
2015-08-14,559097.6,467246.0
2015-08-15,557638.0,499240.0
2015-08-16,558592.0,446401.0
2015-08-17,559097.6,522815.0
2015-08-18,547188.0,452430.0
2015-08-19,531315.0,500627.0
2015-08-20,533755.0,498932.0
2015-08-21,535718.0,510401.0
2015-08-22,530300.0,505867.0
2015-08-23,511168.0,476224.0
2015-08-24,526477.0,495210.0
2015-08-25,521546.0,501914.0
2015-08-26,501860.0,488884.0
2015-08-27,525260.0,510988.0
2015-08-28,506359.0,483821.0
2015-08-29,521615.0,484792.0
2015-08-30,511924.0,469253.0
2015-08-31,523513.0,482712.0
2015-09-01,507427.0,480597.0
2015-09-02,505205.0,480541.0
2015-09-03,495527.0,466228.0
2015-09-04,472853.0,443211.0
2015-09-05,460492.0,416491.0
2015-09-06,469627.0,410542.0
2015-09-07,484100.0,423807.0
2015-09-08,500214.0,454598.0
2015-09-09,495765.0,474757.0
2015-09-10,483165.0,479647.0
2015-09-11,475014.0,472077.0
2015-09-12,493845.0,485515.0
2015-09-13,496982.0,472096.0
2015-09-14,490022.0,467668.0
2015-09-15,485951.0,467384.0
2015-09-16,480413.0,453948.0
2015-09-17,474777.0,441415.0
2015-09-18,475372.0,437127.0
2015-09-19,464787.0,436531.0
2015-09-20,474632.0,447615.0
2015-09-21,481208.0,473006.0
2015-09-22,445365.0,437392.0
2015-09-23,450942.0,440655.0
2015-09-24,477133.0,463262.0
2015-09-25,485560.0,466422.0
2015-09-26,479224.0,453845.0
2015-09-27,468584.0,440249.0
2015-09-28,485276.0,457418.0
2015-09-29,486654.0,449135.0
2015-09-30,487888.0,454125.0
2015-10-01,484707.0,448315.0
2015-10-02,470779.0,435222.0
2015-10-03,432692.0,400092.0
2015-10-04,421814.0,391868.0
2015-10-05,426631.0,404073.0
2015-10-06,410085.0,391544.0
2015-10-07,391967.0,383664.0
2015-10-08,403919.0,406231.0
2015-10-09,425222.0,425583.0
2015-10-10,421709.0,407019.0
2015-10-11,422270.0,387582.0
2015-10-12,437536.0,414077.0
2015-10-13,443487.0,429924.0
2015-10-14,447124.0,425930.0
2015-10-15,429532.0,410219.0
2015-10-16,440762.0,404388.0
2015-10-17,404591.0,363777.0
2015-10-18,406089.0,358199.0
2015-10-19,411556.0,368262.0
2015-10-20,407696.0,359351.0
2015-10-21,385963.0,352437.0
2015-10-22,385727.0,362359.0
2015-10-23,387504.0,360988.0
2015-10-24,384954.0,348615.0
2015-10-25,385372.0,337995.0
2015-10-26,398458.0,351160.0
2015-10-27,400494.0,354146.0
2015-10-28,394524.0,355921.0
2015-10-29,393170.0,345331.0
2015-10-30,381655.0,333167.0
2015-10-31,371612.0,315471.0
2015-11-01,368003.0,289205.0
2015-11-02,382279.0,311502.0
2015-11-03,386306.0,335675.0
2015-11-04,378779.0,339174.0
2015-11-05,377008.0,337063.0
2015-11-06,377206.0,334222.0
2015-11-07,369980.0,318590.0
2015-11-08,366861.0,305632.0
2015-11-09,377502.0,319351.0
2015-11-10,379062.0,329174.0
2015-11-11,384247.0,340742.0
2015-11-12,384956.0,340233.0
2015-11-13,383097.0,339056.0
2015-11-14,376844.0,327910.0
2015-11-15,371533.0,319266.0
2015-11-16,383649.0,329574.0
2015-11-17,394826.0,352185.0
2015-11-18,392993.0,358352.0
2015-11-19,390756.0,354588.0
2015-11-20,385226.0,357896.0
2015-11-21,375196.0,347423.0
2015-11-22,374942.0,237269.0
2015-11-23,381305.0,297061.0
2015-11-24,385255.0,348660.0
2015-11-25,382783.0,347109.0
2015-11-26,377469.0,326717.0
2015-11-27,374698.0,325260.0
2015-11-28,385846.0,346143.0
2015-11-29,386753.0,335905.0
2015-11-30,405037.0,365230.0
2015-12-01,413612.0,377055.0
2015-12-02,415490.0,356715.0
2015-12-03,406068.0,344593.0
2015-12-04,398778.0,320335.0
2015-12-05,388463.0,323796.0
2015-12-06,386720.0,322794.0
2015-12-07,393446.0,336047.0
2015-12-08,397812.0,349574.0
2015-12-09,397846.0,351863.0
2015-12-10,394013.0,349599.0
2015-12-11,392380.0,350877.0
2015-12-12,393759.0,331618.0
2015-12-13,402041.0,330575.0
2015-12-14,415892.0,347680.0
2015-12-15,431932.0,373677.0
2015-12-16,437994.0,382417.0
2015-12-17,439384.0,389617.0
2015-12-18,433012.0,382256.0
2015-12-19,408709.0,355642.0
2015-12-20,396620.0,337811.0
2015-12-21,406654.0,348983.0
2015-12-22,417040.0,355572.0
2015-12-23,405976.0,348147.0
2015-12-24,396758.0,344159.0
2015-12-25,381381.0,333470.0
2015-12-26,399986.0,347684.0
2015-12-27,417953.0,361489.0
2015-12-28,423010.0,369707.0
2015-12-29,423515.0,377258.0
2015-12-30,427961.0,377354.0
2015-12-31,425044.0,377440.0
2016-01-01,437700.0,347952.0
2016-01-02,439055.0,329500.0
2016-01-03,432445.0,322835.0
2016-01-04,441644.0,328657.0
2016-01-05,452040.0,350013.0
2016-01-06,448090.0,350360.0
2016-01-07,458029.0,372810.0
2016-01-08,468658.0,381779.0
2016-01-09,456969.0,365652.0
2016-01-10,453982.0,356752.0
2016-01-11,463113.0,358902.0
2016-01-12,468217.0,354589.0
2016-01-13,461922.0,348178.0
2016-01-14,458561.0,344376.0
2016-01-15,460806.0,348359.0
2016-01-16,454220.0,345955.0
2016-01-17,437746.0,323650.0
2016-01-18,443119.0,325944.0
2016-01-19,445299.0,339895.0
2016-01-20,432390.0,315894.0
2016-01-21,435057.0,329060.0
2016-01-22,439254.0,333729.0
2016-01-23,427574.0,318407.0
2016-01-24,421168.0,306027.0
2016-01-25,435432.0,324042.0
2016-01-26,441422.0,329992.0
2016-01-27,447655.0,336424.0
