UTC Time at End of Hour,Demand (MW),Net Generation (MW)
01-07-2015,772674,775850
02-07-2015,1068283,1072395
03-07-2015,1084390,1088979
04-07-2015,1066050,1067153
05-07-2015,1071403,1071070
06-07-2015,1163471,1167715
07-07-2015,1162069,1165231
08-07-2015,1127191,1129909
09-07-2015,1145679,1150214
10-07-2015,1157435,1160465
11-07-2015,1130570,1131941
12-07-2015,1127168,1129496
13-07-2015,1209332,1209235
14-07-2015,1227965,1228985
15-07-2015,1218238,1219082
16-07-2015,1218115,1216709
17-07-2015,1223910,1226119
18-07-2015,1210281,1209568
19-07-2015,1187791,1187151
20-07-2015,1246255,1242956
21-07-2015,1249595,1244328
22-07-2015,1248861,1242035
23-07-2015,1262401,1256750
24-07-2015,1258004,1251881
25-07-2015,1222664,1217870
26-07-2015,1206832,1201389
27-07-2015,1276462,1270996
28-07-2015,1273609,1269259
29-07-2015,1277239,1272792
30-07-2015,1280708,1273842
31-07-2015,1281606,1274157
01-08-2015,1161710,1158277
02-08-2015,1134194,1130070
03-08-2015,1212310,1207514
04-08-2015,1250762,1244602
05-08-2015,1292695,1286724
06-08-2015,1293549.76,1302706
07-08-2015,1293549.76,1301375
08-08-2015,1269300,1262002
09-08-2015,1242475,1236326
10-08-2015,1293549.76,1288809
11-08-2015,1293549.76,1305188
12-08-2015,1284605,1276439
13-08-2015,1281941,1271560
14-08-2015,1264452,1257208
15-08-2015,1179950,1173298
16-08-2015,1133170,1126145
17-08-2015,1183524,1177344
18-08-2015,1233623,1226247
19-08-2015,1226190,1221438
20-08-2015,1021670,1018923
21-08-2015,1006620,1002803
22-08-2015,1117730,1112943
23-08-2015,1175840,1168270
24-08-2015,1227713,1222903
25-08-2015,1207753,1201003
26-08-2015,1130735,1125130
27-08-2015,1135498,1130086
28-08-2015,1125973,1121996
29-08-2015,1090130,1088482
30-08-2015,1050640,1051221
31-08-2015,1111492,1111830
01-09-2015,1111760,1111271
02-09-2015,1116997,1116305
03-09-2015,1142489,1138809
04-09-2015,1171271,1168394
05-09-2015,1139472,1139469
06-09-2015,1132024,1131644
07-09-2015,1182491,1179074
08-09-2015,1226004,1222901
09-09-2015,1160322,1157683
10-09-2015,1105983,1104230
11-09-2015,1073207,1072145
12-09-2015,966744,964437
13-09-2015,902933,901111
14-09-2015,978181,979219
15-09-2015,1039950,1036743
16-09-2015,1108752,1106730
17-09-2015,1133896,1131734
18-09-2015,1148827,1145353
19-09-2015,1062787,1059287
20-09-2015,998728,995949
21-09-2015,1054582,1052758
22-09-2015,1107181,1106483
